id,lat,lon,dist_hueco_m,colonia_cercana,cp_cercano
P1,19.39003044316366,-99.08657967091821,1561.2731710184687,LEYES DE REFORMA 3A SECCION,9310
P2,19.326815698605245,-98.9914321915989,1445.5847739567794,CAMPESTRE POTRERO,9637
P3,19.32542085638902,-99.0072844881353,1190.671082410878,LOMAS DE LA ESTANCIA,9640
P4,19.377012507961346,-99.08441044678301,1169.4596230752923,AREA FEDERAL CENTRAL DE ABASTOS,9040
P5,19.342602069719785,-99.0908784153092,988.9620259054819,SAN JUAN XALPA,9849
