ageb,POBTOT,x,y,n_denue,lon,lat
440A,1408,492983.7647004978,2132769.5628408855,27.0,-99.06677862093083,19.288666041111608
4414,8028,491070.78956449166,2136456.4892044878,268.0,-99.08500299648281,19.32197861722163
4429,2049,490088.0710674609,2136370.7863565893,70.0,-99.09435768332577,19.321199490428537
4433,3751,490591.56052059936,2136109.696719917,79.0,-99.08956337989082,19.31884234569188
4448,2475,490986.93890668004,2136059.5485282014,78.0,-99.08579935296926,19.318390947300347
4452,1960,490529.86393136816,2135843.4939880064,55.0,-99.09014937935258,19.316436285826097
4467,2193,490781.29069696576,2135802.1170008066,24.0,-99.08775576679172,19.316063513820094
4471,2274,490747.8805600898,2135658.4651109804,13.0,-99.08807311273517,19.314765125984
4503,4051,499203.3697580131,2141943.950856033,50.0,-99.00758593887952,19.371590348629233
4522,749,494480.4239481712,2142441.532261052,5.0,-99.05256178669589,19.376079717161325
4537,829,494473.9044571579,2142417.9420353575,9.0,-99.05262380199531,19.37586650698693
4541,1011,494601.57758718927,2142217.9723100937,4.0,-99.0514074321916,19.374059665459647
4556,1063,494761.30942507996,2142172.2094349856,4.0,-99.04988623208214,19.373646515264635
4560,969,493842.7569703908,2142415.461167099,13.0,-99.05863407154678,19.37584224931955
4575,528,493864.0863452588,2142296.2097216523,47.0,-99.05843057247448,19.37476460214976
4594,1164,494095.83094612614,2142190.223816819,18.0,-99.05622340636097,19.373807469503802
4611,751,494306.55239081074,2142112.0797730917,5.0,-99.05421654436238,19.37310186606271
4645,1184,494654.44898672577,2142112.3882765523,17.0,-99.05090365876548,19.373105610843012
465A,2794,494772.4625409272,2141872.377644586,140.0,-99.04977920202562,19.370936869669418
4664,3439,495961.82824168267,2141875.4299284336,68.0,-99.03845348111663,19.370967199209645
4679,440,496251.3309542231,2141691.050712967,6.0,-99.03569632982567,19.36930146678251
4683,2771,496378.9542853148,2141497.30160737,85.0,-99.03448068123758,19.367550728038335
4698,3320,493467.34915514855,2141879.5653327303,91.0,-99.06220715813797,19.37099800391051
4715,32,495291.06959413126,2140941.1927323,29.0,-99.04483846871179,19.362522735104445
472A,5525,494610.79549906484,2140625.903271123,101.0,-99.05131515026099,19.359671650798205
4734,11587,494766.07811369275,2139843.84235814,313.0,-99.04983442755929,19.35260431721341
4749,6128,494776.46398284397,2136534.727370449,282.0,-99.0497264843472,19.3226987123354
4768,3740,494326.51774258685,2137447.9447710766,144.0,-99.0540125475373,19.330950569234496
4772,4280,494701.5278175405,2137243.7879431318,281.0,-99.05044182043305,19.32910655354199
4791,2135,491940.659815622,2140595.4122083536,20.0,-99.07673961557154,19.3593871540219
4804,2676,491147.0680433432,2138426.9665780095,28.0,-99.0842859867953,19.339786849381127
4838,1560,502327.86189211387,2138451.6393617126,105.0,-98.97783711910265,19.34002796716215
4842,1895,502811.65981768403,2137576.5788713526,36.0,-98.9732323119907,19.33211911702682
4857,5508,497273.80278266454,2136732.2959234067,177.0,-99.02595285820968,19.324489143843405
4861,3584,496821.62751426664,2136502.0228760424,83.0,-99.03025709383502,19.322407418540095
4876,5532,500339.5673354982,2138044.052218752,197.0,-98.99676715278432,19.336345776953458
4880,5581,500062.0970498027,2138067.892048655,182.0,-98.99940880492026,19.33656125366938
4895,3426,492488.5065478841,2143426.469293099,49.0,-99.0715342825044,19.38497442535512
4908,5488,492623.0058379273,2143139.017831573,291.0,-99.07025229075481,19.382377139043935
4912,6803,491581.81267704617,2140342.0315823588,329.0,-99.0801553734916,19.35709579914097
4927,6812,491423.3538953013,2140150.0821824004,206.0,-99.08166330442792,19.35536041950323
4931,5485,499060.1359032362,2139434.6143032704,216.0,-99.00894865098019,19.348912580673595
4946,5350,498634.356870842,2139297.1867875783,215.0,-99.01300248753364,19.34767035684092
4965,4114,490096.83057750436,2136693.2185545336,73.0,-99.09427596745633,19.324113468246882
497A,1927,491897.6449046128,2139572.415016811,123.0,-99.07714484906006,19.35014181908056
4984,4002,491520.99562514847,2139252.7880304647,186.0,-99.0807296117318,19.34725168939834
4999,3431,496804.4309195416,2138665.3397587417,250.0,-99.03042442008969,19.341958060519193
5003,3643,497127.4146140522,2138640.2817534693,138.0,-99.02734931484069,19.341732090000757
5018,2989,493589.6961007403,2137794.8156457418,128.0,-99.06102838062546,19.334083151176994
5037,2646,502238.77371583204,2138362.998434469,210.0,-98.97868540506387,19.339226989126853
5041,3291,502295.2519313384,2138138.923970734,87.0,-98.97814796484748,19.33720188549791
5056,806,494433.6450752958,2137036.2978945295,22.0,-99.05299147714213,19.32723066810329
5060,5931,494238.754328597,2136959.0257385727,242.0,-99.0548465956117,19.326531783210097
5075,3792,497615.45146854117,2137213.951001191,225.0,-99.02270103175749,19.328842469946352
508A,3945,497894.07548144757,2137085.4540800485,97.0,-99.02004837444993,19.3276815075951
5094,1516,499192.0881582275,2141725.432368133,5.0,-99.00769327562956,19.369615522366615
5107,4853,499459.8985097082,2141403.0220418274,230.0,-99.00514298168238,19.366701885826654
5111,7653,493347.9179939555,2140498.091867395,28.0,-99.06333961858967,19.358512791843307
5126,4853,493541.33058611955,2140339.0475584003,48.0,-99.06149744970531,19.357076087352468
5130,2592,492735.7056922593,2137746.843507952,90.0,-99.06915848740492,19.333646707195914
5145,4478,492867.83352656296,2137423.8551338883,184.0,-99.0678993809937,19.330728220101403
515A,1634,492359.3693666195,2132990.663028671,47.0,-99.07272232496531,19.290661941451123
5179,1573,494540.54165945615,2142684.608930359,35.0,-99.0519899951676,19.37827664106884
5183,3932,494602.7207517129,2142634.1058536037,101.0,-99.05139772556097,19.377820397319947
5198,5541,494541.55773792637,2141650.896079359,260.0,-99.05197735674658,19.36893465567619
5200,4699,494667.9720642115,2141193.528017843,188.0,-99.05077231213316,19.364801613259917
5215,5858,491544.0766391153,2137453.391647582,226.0,-99.08050188341004,19.330990023476435
522A,2314,491045.6555723029,2137385.980267583,57.0,-99.08524662010196,19.330378646459177
5249,3208,491029.12031627755,2137060.1196291056,52.0,-99.08540250741916,19.327433655350493
5253,4458,496775.9907828723,2142416.5479910104,59.0,-99.03070153707377,19.375858927539163
5268,5103,496959.19763085357,2142164.751273663,54.0,-99.02895649634824,19.373583647014787
5272,3347,487422.8867009447,2142184.6506095724,236.0,-99.11976748638462,19.3737263786884
5287,2360,487234.6251631115,2141970.654557124,21.0,-99.12155879858194,19.371791243845298
5291,3411,499531.3724372607,2139261.7678652303,114.0,-99.00446186275335,19.347350673170634
5304,5300,499566.71761708637,2138785.1788569805,221.0,-99.00412522856762,19.34304358114291
5319,3414,500681.4751436189,2138514.725294184,113.0,-98.99351185510086,19.34059932890501
5323,3240,500738.3894434128,2137981.850908255,55.0,-98.99297019520934,19.335783534721966
5338,6974,498601.423866834,2137640.722749885,193.0,-99.01331483367483,19.332700287030026
5342,5210,499213.07749570836,2137810.078021777,125.0,-99.00749179089854,19.334231143516384
5357,3042,491433.0204820169,2135879.802912502,96.0,-99.08155210089122,19.316768468348716
5361,2123,491635.2676966873,2135696.0208719647,8.0,-99.07962603546419,19.315108413090183
5376,961,491108.6942280805,2135153.507130637,3.0,-99.08463609666669,19.310203260000055
5380,8787,495300.9956608965,2135902.943326909,429.0,-99.0447315490084,19.31699033992742
5395,3565,495273.9825663191,2135599.5048891897,35.0,-99.04498794631726,19.31424799038199
5408,2285,492425.7985578198,2132731.870285799,65.0,-99.07208903894279,19.288323380012926
5412,2677,492523.00441699295,2132829.374173426,53.0,-99.0711642432271,19.289204923949065
5427,4283,492752.46190619835,2132604.4601304466,128.0,-99.06897947200007,19.287173124392066
5431,2463,488828.15347410826,2141948.3840335584,54.0,-99.10638425096684,19.371599480329206
5446,4124,488486.0225194751,2141366.2652922487,199.0,-99.10963868118424,19.366336761598834
5450,3458,493702.2289037858,2136838.058659412,115.0,-99.05995387373875,19.325436952469673
5465,1777,493466.58346100815,2136800.474851065,30.0,-99.06219705491506,19.325096542780447
547A,3413,493971.52765658556,2142772.7139492054,78.0,-99.05740894807039,19.379071244388957
5484,4151,494288.25793166924,2142322.254674621,242.0,-99.05439138578856,19.375001230604482
5499,4474,495712.68087679305,2136300.5521783894,191.0,-99.04081345888657,19.32058459710287
5501,6014,495826.10479957337,2136150.471701757,180.0,-99.03973338367456,19.31922850279895
5516,4913,496040.02631850063,2136206.366575655,143.0,-99.03769707453029,19.319734077627988
5520,3557,495661.2246230317,2135948.770125488,146.0,-99.04130250186356,19.31740530227384
5535,4112,492396.6491151238,2137200.147035194,64.0,-99.0723842397987,19.32870476509039
554A,2658,492237.1380903139,2137076.4109538896,58.0,-99.07390228805926,19.327585908992592
5554,2894,497587.76949037623,2138402.950929183,146.0,-99.02296606783773,19.339587853261573
5569,4114,497965.70918241434,2138306.2769566225,185.0,-99.01936772319186,19.338714594426794
5573,3451,497202.93936240935,2137743.0727318,161.0,-99.02662894414269,19.333623801942785
5588,4157,497512.03405476257,2137506.1991673033,154.0,-99.02368595181902,19.331483496765664
5592,1833,496135.2600622688,2143088.738920044,107.0,-99.03680443957279,19.381932594424775
5605,4180,495693.88432067656,2142472.466126525,255.0,-99.04100632578123,19.37636224699727
5624,3644,490729.3792729483,2134807.9838357316,78.0,-99.08824510724952,19.307078927281115
5639,1737,494631.1236807173,2142776.6017351914,18.0,-99.05112764930126,19.379108252949205
5643,836,494836.53407071956,2142672.307193761,1.0,-99.04917125000001,19.378166249999996
5658,7959,495328.61146084435,2142266.177008744,149.0,-99.04448424344852,19.37449713044468
5662,2312,494996.10805686726,2141873.4150943216,74.0,-99.04764954188731,19.370946815408985
5677,5416,496114.1216055001,2141506.5039022355,279.0,-99.03700251568053,19.367633397021038
5681,6838,496654.8275067891,2141358.2131691827,61.0,-99.03185348997943,19.366294219443713
5696,1765,497075.4764729496,2141040.615863377,17.0,-99.02784748826365,19.363424645871152
5709,2911,491393.29184657935,2138028.3480246486,166.0,-99.08193997178716,19.33618546526734
5713,3338,491281.56544059934,2137835.4793886184,68.0,-99.08300277897008,19.33444196330968
5728,1591,495192.650500381,2136580.9876040323,88.0,-99.04576463184277,19.3231178200802
5732,2692,495254.79242533166,2136491.594943037,60.0,-99.04517283611177,19.322310093368678
5747,1979,499281.7214792472,2142364.7060819548,21.0,-99.00683999059257,19.37539287710231
5751,1984,499195.5573171571,2142144.03578379,16.0,-99.00766041761509,19.37339857688852
5766,2047,499405.87547063344,2142282.456149412,258.0,-99.00565767685934,19.37464959900157
5770,1531,499412.2580034824,2141870.8875469454,38.0,-99.00559677084341,19.370930124120154
5785,500,494014.7470831499,2142298.2294575884,3.0,-99.05699587970754,19.37478331012023
579A,364,494164.00320360705,2142263.7505595023,4.0,-99.05557445051596,19.37447215311856
5802,463,494272.2439295805,2142235.404580588,6.0,-99.05454362158937,19.37421629346583
5817,504,494220.07621295296,2142114.116804937,5.0,-99.0550400301396,19.373120028187635
5821,468,494425.185898655,2142158.112090295,4.0,-99.05308697750948,19.373518207622634
5836,492,494351.6524537614,2141999.547072437,1.0,-99.05378674,19.37208499999999
5840,755,494513.210119905,2142105.759706692,8.0,-99.05224860352438,19.373045325224805
5855,560,494564.32562401245,2141973.399699111,12.0,-99.05176147255368,19.371849285136726
586A,2523,490307.7290387155,2135226.89360794,34.0,-99.09226082735341,19.3108627855068
5874,1628,490461.92857214104,2135539.29232929,24.0,-99.09079456023795,19.31368678376148
5889,2195,490759.1482841603,2137682.5264357617,32.0,-99.08797564248412,19.333057342091944
5893,5778,490689.7838661158,2137527.2919643642,85.0,-99.08863525482732,19.331654114257393
5906,3780,493276.8368168805,2137482.5428922097,32.0,-99.06400581183782,19.331260010615928
5910,3698,493542.6536028463,2137485.348373148,57.0,-99.06147519529387,19.33128623553753
5925,3653,491116.3477801358,2137172.331577277,33.0,-99.08457262712376,19.32844814140531
593A,3627,491546.2533221623,2137156.168554299,45.0,-99.08047984541919,19.32830392265153
