,dist_mediana_m,tiempo_mediano_min,pob_mas15,pob_mas30,pct_mas15,pct_mas30
ANTES,1607.01239001489,21.4268318668652,1300801.0,514555.0,70.91828974089874,28.052992408237813
Conservador (P1+P4),1554.3023390479336,20.724031187305783,1285966.0,470220.0,70.10950128800992,25.63589526911911
Completo (P1-P5),1521.3572955478132,20.28476394063751,1282256.0,377935.0,69.90723602611457,20.604615028145403
