id,zona,persistencia_m,r_disco_m,pct_urbano,clase,n_muestras_interior,pct_urbano_500,clase_500,lat,lon,cp
P1,Leyes de Reforma 3a Sec.,1561.2731710184687,780.6365855092344,100.0,accionable,274,100.0,accionable,19.39003044316366,-99.0865796709182,9310
P2,Campestre Potrero,1445.5847739567794,722.7923869783897,37.29372937293729,falso_positivo,303,76.56765676567657,accionable,19.326815698605245,-98.9914321915989,9637
P3,Lomas de la Estancia,1190.671082410878,595.335541205439,43.377483443708606,mixto,302,88.41059602649007,accionable,19.32542085638902,-99.0072844881353,9640
P4,Central de Abastos,1169.4596230752925,584.7298115376462,100.0,accionable,600,100.0,accionable,19.377012507961343,-99.084410446783,9040
P5,San Juan Xalpa,988.962025905482,494.481012952741,50.5,mixto,600,99.66666666666667,accionable,19.342602069719785,-99.0908784153092,9849
